callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WORA,day_0.5,31.50513532490004,WORA_0.5_D_as3.kml,18.1916666666667,-67.1577777777778,760.0,5.0,Unknown,PR,MAYAGUEZ,ARSO RADIO CORPORATION
WRMN,night_2,0.28230153920594603,WRMN_2_N_as1.kml,42.00583333333329,-88.2986111111111,1410.0,1.0,Great Lakes,IL,ELGIN,ELGIN COMMUNITY BROADCASTING LLC
WDNT,day_2,0.08362346945796162,WDNT_2_D_as1.kml,35.6663888888889,-84.8788888888889,970.0,0.5,Mid-South,TN,SPRING CITY,"BEVERLY BROADCASTING COMPANY, LLC"
WZKY,day_0.5,0.3187128475983627,WZKY_0.5_D_as1.kml,35.3605555555556,-80.1775,1580.0,1.0,Southeast,NC,ALBEMARLE,"STANLY COMMUNICATIONS, INC."
WPYB,night_2,0.3498200371977873,WPYB_2_N_as1.kml,35.361,-78.5688888888889,1130.0,6.5,Southeast,NC,BENSON,McLamb Broadcasting
WGLL,night_2,0.15451247175224125,WGLL_2_N_as1.kml,41.3336111111111,-85.0522222222222,1570.0,0.5,Great Lakes,IN,AUBURN,"THE RAYMOND S. AND DOROTHY N. MOORE FOUNDATION, INC."
WKTE,night_2,0.10171203385107219,WKTE_2_N_as1.kml,36.2968055555556,-80.3714444444444,1090.0,1.0,Southeast,NC,KING,"BOOTH-NEWSOM BROADCASTING, INC."
KYSP,night_2,0.19202879746444523,KYSP_2_N_as1.kml,47.3970833333333,-120.274805555556,1340.0,1.0,Pacific Northwest,WA,WENATCHEE,"Townsquare License, LLC"
WGMF,night_2,0.5906298407353461,WGMF_2_N_as1.kml,41.4761111111111,-75.4947222222222,750.0,1.6,Great Lakes,PA,OLYPHANT,"Geos Communications, LLC"
KENI,day_2,6.965095582185313,KENI_2_D_as3.kml,61.1661111111111,-149.826111111111,650.0,50.0,Alaska,AK,ANCHORAGE,"IHM LICENSES, LLC"
WCVG,day_2,0.21522247535176575,WCVG_2_D_as1.kml,39.0455555555556,-84.5083333333333,1320.0,0.5,Mid-South,KY,COVINGTON,"REIGN ENTERPRIZES, LLC"
WTMJ,night_2,7.676971648004837,WTMJ_2_N_as1.kml,42.7078055555556,-88.0659166666667,620.0,10.0,Great Lakes,WI,MILWAUKEE,"Good Karma Broadcasting, L.L.C."
KGMR,day_0.5,0.7285171204712242,KGMR_0.5_D_as1.kml,35.4725,-93.4911111111111,1360.0,0.5,Mid-South,AR,CLARKSVILLE,"Radio La Raza, LLC"
WLTN,day_0.5,0.1301447676960379,WLTN_0.5_D_as3.kml,44.3130555555556,-71.7688888888889,1400.0,1.0,Northeast,NH,LITTLETON,"PROFILE BROADCASTING, LLC"
KMAQ,day_0.5,0.8083371293032542,KMAQ_0.5_D_as1.kml,42.0905555555556,-90.6286111111111,1320.0,0.135,Plains,IA,MAQUOKETA,Coloff Media LLC
